name,average,total_points,rank_average,rank_total,gp,pts,treb,ast,stl,blk,fgm,ftm,to,dd,td,draft_order,diff_average,diff_total
DeMar DeRozan,50.9,3766.6,27,12,74,24.5,4.6,5.1,1.1,0.5,8.9,6.2,2.1,0.1,0,9,18,3
Deni Avdija,24.8,1884.8,163,130,76,9.2,6.4,2.8,0.9,0.4,3.3,1.6,1.6,0.1,0,NA,NA,NA
Dennis Schroder,27.3,1801.8,139,138,66,12.6,2.5,4.5,0.8,0.2,4.1,3.3,1.7,0,0,NA,NA,NA
Dennis Smith Jr.,23.8,1285.2,170,184,54,8.8,3.1,4.8,1.4,0.5,3.4,1.4,1.5,0,0,NA,NA,NA
Derrick White,28.6,2345.2,129,86,82,12.4,3.6,3.9,0.6,0.9,4.3,2.1,1.2,0.1,0,NA,NA,NA
Desmond Bane,42.4,2459.2,50,77,58,21.5,5,4.4,1,0.4,7.8,3.1,2.2,0,0,47,3,30
Devin Booker,53.9,2856.7,17,50,53,27.8,4.5,5.5,1,0.3,9.9,5.8,2.7,0.1,0,11,6,39
Devin Vassell,36.5,1387,84,173,38,18.5,3.9,3.6,1.1,0.4,6.9,2.1,1.5,0,0,72,12,101
Dillon Brooks,28,2044,133,115,73,14.3,3.3,2.6,0.9,0.2,5.4,1.6,1.4,0,0,102,31,13
Domantas Sabonis,55.8,4408.2,14,6,79,19.1,12.3,7.3,0.8,0.5,7.3,4.1,2.9,0.8,0.2,15,-1,-9
Donovan Mitchell,53.3,3624.4,21,17,68,28.3,4.2,4.4,1.5,0.4,10,4.7,2.6,0.1,0,39,-18,-22
